ROOMS,INCOME_mean,INCOME_median,FAMILY_COUNT_mean,FAMILY_COUNT_median,COMMUTE_mean,COMMUTE_median,AGE_mean,AGE_median
1,74599.00012663036,54200.0,2.082183107509181,2.0,24.430543244269977,20.0,40.00291249841712,36.0
2,86530.09501845019,61100.0,1.8632636326363263,1.0,23.13478884788848,20.0,39.317548175481754,35.0
3,90721.77018216038,67600.0,2.3264098944679708,2.0,23.20814008200578,20.0,40.36428715466828,37.0
4,100653.27309264305,78000.0,2.8455381471389645,3.0,23.040122615803813,20.0,41.69470367847411,40.0
5,121548.63264277882,97000.0,3.199327228001541,3.0,23.15112178062298,16.0,43.8641119113245,43.0
6,140341.08017507955,112900.0,3.359480736768199,3.0,23.033118716481678,15.0,45.02978742474716,45.0
7,167620.95004045774,133600.0,3.439394289677494,3.0,22.741486533348745,15.0,46.33249335336955,47.0
8,184348.37625165007,145000.0,3.474870407933288,3.0,23.05582922824302,15.0,46.95827296435816,48.0
9,213265.90639364815,162300.0,3.542693968519292,3.0,23.00800947207132,15.0,47.37818637693272,49.0
10,221954.77807063784,168000.0,3.665155508697944,3.0,23.228571428571428,15.0,47.225197680548234,49.0
11,245849.17735042734,188000.0,3.515758547008547,3.0,21.881944444444443,15.0,47.988514957264954,50.0
14,280746.89289329824,200000.0,3.55537558210164,3.0,22.080178173719375,15.0,48.32617938854019,50.0
